studyID,caseID,author,year,journal,kingdom,organism_group,thermoregulation,dispersal_type,trophic_position,realm,habitat,hemisphere,longitude_range,longitude_midpoint,scale,diversity,latitude_range,latitude_midpoint,total_taxonomic_richness,measure_of_richness,number_of_points,slope_b,SE_b,Var_b,intercept,r,rz,VarRz
835,1,P. M. Linardi and B. R. Krasnov,2013,Medical and Veterinary Entomology,Animalia,mammals,homeo,active,multiple,terrestrial,Terrestrial general,S,36,-54.5,regional,gamma,23,-14,NA,S,36,-0.06037,0.08068,0.234333446,8.92947,-0.127279221,-0.127973287,0.03030303
835,2,P. M. Linardi and B. R. Krasnov,2013,Medical and Veterinary Entomology,Animalia,arthropods,ecto,active,parasites,terrestrial,Terrestrial general,S,36,-54.5,regional,gamma,23,-14,NA,S,36,0.4276,0.1107,0.44116164,1.5204,0.552358579,0.621769103,0.03030303
741,2,M. R. Willig and C. P. Bloch,2006,Oikos,Animalia,mammals,homeo,active,multiple,terrestrial,Forest,S,91,-80,regional,gamma,49,-25,NA,S,36,-2.5652,0.3439,4.25761956,121.2849,-0.787781696,-1.065557686,0.03030303
776,1,"M. Zagmajster, D. Eme, C. FiÅ¡er, D. Galassi, P. Marmonier, F. Stoch, J. F. Cornu and F. Malard",2014,Global Ecology and Biogeography,Animalia,arthropods,ecto,active,multiple,freshwater,Freshwater,N,60,10.5,local,alpha,35,53,1570,S,40,-0.34,0.07,0.196,NA,-0.663324958,-0.798727833,0.02702703
741,1,M. R. Willig and C. P. Bloch,2006,Oikos,Animalia,mammals,homeo,active,multiple,terrestrial,Terrestrial general,N,91,-80,regional,gamma,67,36,NA,S,49,-2.1926,0.1963,1.88815081,124.0799,-0.85229103,-1.264467314,0.02173913
792,1,N. Mieszkowska and C. J. Lundquist,2011,Journal of Experimental Marine Biology and Ecology,Animalia,other invertebrates,ecto,active,herbivores,marine,Coastal/estuary,S,9,175,regional,gamma,14,-39.5,13,S,63,0.1431,NA,NA,2.4553,0.350713558,0.366257158,0.01666667
774,2,"M. Yasuhara, G. Hunt, G. van Dijken, K. R. Arrigo, T. M. Cronin and J. E. Wollenburg",2012,Journal of Biogeography,Protista,protozoa,ecto,passive,multiple,marine,Benthic,N,360,0,local,alpha,13,82.5,NA,S,80,-0.01478,0.41456,13.74879949,52.23069,-0.004037326,-0.004037348,0.01298701
774,1,"M. Yasuhara, G. Hunt, G. van Dijken, K. R. Arrigo, T. M. Cronin and J. E. Wollenburg",2012,Journal of Biogeography,Animalia,arthropods,ecto,passive,suspension,marine,Benthic,N,360,0,local,alpha,40,70.5,NA,S,144,-0.34,0.07644,0.841402598,39.22338,-0.347131099,-0.362178077,0.006944444
862,1,Shu and Jiao,2008,The Journal of Microbiology,Bacteria,bacteria,ecto,passive,detritivores,marine,Open ocean,N,0,130,local,alpha,18,11,39,S,5,-0.619137,0.5189859,1.346731822,14.43902,-0.567235577,-0.643437523,0.5
853,2,Rodriguez and Arita,2004,Ecography,Animalia,mammals,homeo,active,multiple,terrestrial,Terrestrial general,N,86,-135,regional,gamma,44,42,714,index,14,-2.21962,0.3225068,1.456148905,113.3696,-0.893235075,-1.437706437,0.09090909
853,4,Rodriguez and Arita,2004,Ecography,Animalia,mammals,homeo,active,multiple,terrestrial,Terrestrial general,N,86,-135,regional,gamma,44,42,714,index,14,-1.128823,0.1414631,0.280165321,59.88682,-0.917292701,-1.571680783,0.09090909
874,1,R. B. GonÃ§alves and C. R. F. BrandÃ£o,2008,Biota Neotropica,Animalia,arthropods,ecto,active,herbivores,terrestrial,Terrestrial general,S,15,-41.5,local,alpha,19,-15.5,105,S,17,-0.128,0.257,1.122833,9.83019,-0.127596983,-0.128296295,0.07142857
874,2,R. B. GonÃ§alves and C. R. F. BrandÃ£o,2008,Biota Neotropica,Animalia,arthropods,ecto,active,herbivores,terrestrial,Terrestrial general,S,15,-41.5,local,alpha,19,-15.5,30,S,17,-0.03189092,0.1291077,0.283369569,6.289247,-0.063648441,-0.063734599,0.07142857
853,1,Rodriguez and Arita,2004,Ecography,Animalia,mammals,homeo,active,multiple,terrestrial,Terrestrial other,N,86,-135,regional,gamma,44,42,714,index,17,-1.66108,0.2684395,1.225016008,140.7449,-0.847657124,-1.247769976,0.07142857
853,3,Rodriguez and Arita,2004,Ecography,Animalia,mammals,homeo,active,multiple,terrestrial,Terrestrial other,N,86,-135,regional,gamma,44,42,714,index,17,-0.6415968,0.1313932,0.293490941,69.74264,-0.783479164,-1.054317269,0.07142857
842,12,Pappalardo and Fernandez,2014,Global Ecology and Biogeography,Animalia,other invertebrates,ecto,active,herbivores,marine,Coastal/estuary,S,36,54,regional,gamma,15,-42,139,S,18,5.639791,0.6426484,7.433945388,-199.6535,0.90993736,1.527160151,0.06666667
877,4,R. D. Stevens,2004,Journal of Biogeography,Animalia,mammals,homeo,active,multiple,terrestrial,Terrestrial general,both,74,-80,regional,gamma,60,30,20,S,19,-0.1233507,0.04651881,0.041115994,3.937978,-0.540910806,-0.60544222,0.0625
842,2,Pappalardo and Fernandez,2014,Global Ecology and Biogeography,Animalia,other invertebrates,ecto,active,herbivores,marine,Coastal/estuary,S,36,54,regional,gamma,36,-36,135,S,19,-1.669567,0.1498169,0.426456967,123.7624,-0.937867101,-1.7200338,0.0625
877,2,R. D. Stevens,2004,Journal of Biogeography,Animalia,mammals,homeo,active,multiple,terrestrial,Terrestrial general,both,74,-80,regional,gamma,60,30,145,S,23,-0.8928796,0.2256674,1.171292835,35.5367,-0.653519472,-0.781417344,0.05
842,6,Pappalardo and Fernandez,2014,Global Ecology and Biogeography,Animalia,other invertebrates,ecto,active,herbivores,marine,Coastal/estuary,S,36,54,regional,gamma,33,-36.5,160,S,23,1.999304,0.1288787,0.382023544,-19.57186,0.959031699,1.933703491,0.05
877,3,R. D. Stevens,2004,Journal of Biogeography,Animalia,mammals,homeo,active,multiple,terrestrial,Terrestrial general,both,74,-80,regional,gamma,60,30,29,S,24,-0.04370584,0.04540356,0.049475598,3.214891,-0.201038703,-0.203814771,0.04761905
842,8,Pappalardo and Fernandez,2014,Global Ecology and Biogeography,Animalia,other invertebrates,ecto,active,herbivores,marine,Coastal/estuary,S,36,54,regional,gamma,38,-28,380,S,25,-5.629449,0.4540392,5.153789878,285.2954,-0.932659852,-1.678447944,0.04545455
842,4,Pappalardo and Fernandez,2014,Global Ecology and Biogeography,Animalia,other invertebrates,ecto,active,herbivores,marine,Coastal/estuary,S,36,54,regional,gamma,34,-37,NA,S,26,0.1226941,0.009479582,0.002336424,-2.333623,0.93524724,1.698707023,0.04347826
847,1,Muir et al.,2015,Science,Animalia,other invertebrates,ecto,passive,multiple,marine,Coral reefs,N,106,-20,regional,gamma,22,11.668,104,S,26,-0.8811219,0.09872908,0.253433212,17.22855,-0.876612742,-1.360947926,0.04347826
847,4,Muir et al.,2015,Science,Animalia,other invertebrates,ecto,passive,multiple,marine,Coral reefs,S,106,-20,regional,gamma,22,-11.668,104,S,26,-0.9438263,0.02700309,0.018958339,21.67662,-0.990319847,-2.662986479,0.04347826
877,1,R. D. Stevens,2004,Journal of Biogeography,Animalia,mammals,homeo,active,multiple,terrestrial,Terrestrial general,both,74,-80,regional,gamma,60,30,70,S,27,0.2622379,0.06568179,0.116480634,1.507858,0.623985016,0.73150465,0.04166667
865,1,Huang et al,2011,Weed Research,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,N,62,105,regional,gamma,27.182,36.768,50,S,27,-1.195242,0.1621214,0.709650405,49.52327,-0.827620505,-1.180535858,0.04166667
842,5,Pappalardo and Fernandez,2014,Global Ecology and Biogeography,Animalia,other invertebrates,ecto,active,herbivores,marine,Coastal/estuary,S,36,-54,regional,gamma,43,-28.2,59,S,28,1.031884,0.09067207,0.23019988,-8.573581,0.912585338,1.542774083,0.04
842,1,Pappalardo and Fernandez,2014,Global Ecology and Biogeography,Animalia,other invertebrates,ecto,active,herbivores,marine,Coastal/estuary,S,36,-54,regional,gamma,36,-36,74,S,30,-0.3229353,0.03511264,0.036986925,50.66924,-0.866777653,-1.319974765,0.03703704
842,3,Pappalardo and Fernandez,2014,Global Ecology and Biogeography,Animalia,other invertebrates,ecto,active,herbivores,marine,Coastal/estuary,S,36,-54,regional,gamma,36.4,-35.4,119,S,30,0.712381,0.1493842,0.669469176,31.90482,0.669463367,0.809770012,0.03703704
842,10,Pappalardo and Fernandez,2014,Global Ecology and Biogeography,Animalia,other invertebrates,ecto,active,herbivores,marine,Coastal/estuary,S,36,-54,regional,gamma,42.4,-35.4,NA,S,30,0.6799315,0.04158735,0.05188523,-11.61417,0.951411005,1.846455456,0.03703704
865,2,Huang et al,2011,Weed Research,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,N,62,105,regional,gamma,26.74,36.768,45,S,30,-1.174152,0.1454862,0.634987032,53.88632,-0.836275553,-1.208654914,0.03703704
842,7,Pappalardo and Fernandez,2014,Global Ecology and Biogeography,Animalia,other invertebrates,ecto,active,herbivores,marine,Coastal/estuary,S,36,-54,regional,gamma,36.756,-28.018,201,S,31,-3.22509,0.1536283,0.731651291,169.8997,-0.96863729,-2.069738625,0.03571429
847,2,Muir et al.,2015,Science,Animalia,other invertebrates,ecto,passive,multiple,marine,Coral reefs,N,106,-20,regional,gamma,33,17.1965,104,S,33,-1.657907,0.08614266,0.24487841,69.97524,-0.960610431,-1.953755056,0.03333333
847,5,Muir et al.,2015,Science,Animalia,other invertebrates,ecto,passive,multiple,marine,Coral reefs,S,106,-20,regional,gamma,33,-17.1965,104,S,33,-1.266646,0.08213691,0.222633575,68.44099,-0.94057307,-1.742995557,0.03333333
847,6,Muir et al.,2015,Science,Animalia,other invertebrates,ecto,passive,multiple,marine,Coral reefs,S,106,-20,regional,gamma,33,-17.1965,104,S,33,-0.2205945,0.04458118,0.065586893,18.06592,-0.664290975,-0.80045484200000006,0.03333333
842,9,Pappalardo and Fernandez,2014,Global Ecology and Biogeography,Animalia,other invertebrates,ecto,active,herbivores,marine,Coastal/estuary,S,36,-54,regional,gamma,46.598,-32.887,79,S,35,0.001203766,0.0653237,0.149351502,20.84829,0.003209361,0.003209372,0.03125
847,3,Muir et al.,2015,Science,Animalia,other invertebrates,ecto,passive,multiple,marine,Coral reefs,N,106,-20,regional,gamma,34,16.718,104,S,36,-0.1850212,0.0477951,0.082237377,16.79814,-0.553099901,-0.622836535,0.03030303
842,11,Pappalardo and Fernandez,2014,Global Ecology and Biogeography,Animalia,other invertebrates,ecto,active,herbivores,marine,Coastal/estuary,S,36,-54,regional,gamma,43.922,-32.353,78,S,37,0.252049,0.03410389,0.043033787,17.92705,0.780684251,1.047120257,0.02941176
962,2,Piacenza et al,2015,Plos ONE,Animalia,fishes,ecto,active,multiple,marine,Coastal/estuary,N,8,-122,local,alpha,15.777,39.9765,233,S,56,0.1013973,0.03067791,0.052703513,10.40333,0.410200683,0.435852481,0.01886792
872,1,R. A. Pyron and J. J. Wiens,2013,Proceedings of the Royal Scoiety B,Animalia,herpetofauna,ecto,active,omnivores,freshwater,Freshwater,both,360,0,regional,gamma,44,22,6117,index,58,-0.0764,0.0132,0.01010592,5.419272,-0.609778566,-0.708568778,0.1428571
892,1,Greenberg et al,2008,Journal of Biogeography,Animalia,birds,homeo,active,multiple,terrestrial,Forest,N,116,-24,local,alpha,19.5,54.75,NA,S,58,0.05367728,0.1713215,1.702361269,31.99322,0.042597805,0.042623599,0.01818182
906,1,Ostertagetal,2014,Plos ONE,Plantae,woody plants,ecto,passive,autotrophs,terrestrial,Forest,N,0.4,-155.55,local,alpha,20,12.16,22,S,19,-22.0495,7.278055,1006.431607,582.2901,-0.59212296,-0.680928922,0.0625
1054,1,Tanaka et al,2014,Plant Systematics and Evolution,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Forest,N,17.2,137.2,local,alpha,14.523,38.4395,298,S,67,-12.05464,1.451693,141.1966419,584.7386,-0.717466863,-0.902404944,0.015625
1054,2,Tanaka et al,2014,Plant Systematics and Evolution,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Forest,N,17.2,137.2,local,alpha,14.645,38.3875,30,S,69,-17.89904,1.847977,235.6363105,781.2708,-0.763785834,-1.005239471,0.01515152
962,1,Piacenza et al,2015,Plos ONE,Animalia,fishes,ecto,active,multiple,marine,Coastal/estuary,N,8,-122,local,alpha,15.777,39.9765,310,S,75,-0.07450217,0.0286105,0.061392053,13.44139,-0.291537202,-0.300245434,0.01388889
841,1,GarcillÃ¡n et al,2014,Journal of vegetation Science,Plantae,woody plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,N,8,-113,regional,gamma,10,27,78,S,95,-0.04721022,0.01067803,0.010831931,15.81929,-0.416751245,-0.443753948,0.01086957
888,1,Davies et al,2010,Global Ecology and Biogeography,Animalia,birds,homeo,active,carnivores,marine,Open ocean,N,360,0,local,alpha,73,38.5,110,S,104,0.08102288,0.02007022,0.041892628,11.89945,0.369607359,0.387968257,0.009803922
864,1,Liu et al.,2009,Plant Ecology,Plantae,herbaceous plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,N,53,106,regional,gamma,30,33.6,679,S,115,-1.64612,0.9620994,106.4480544,139.2528,-0.158908999,-0.160267232,0.008928571
864,2,Liu et al.,2009,Plant Ecology,Plantae,herbaceous plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,N,53,106,regional,gamma,30,33.6,518,S,115,0.3184234,0.6913466,54.96541395,40.57573,0.043287516,0.043314583,0.008928571
864,3,Liu et al.,2009,Plant Ecology,Plantae,herbaceous plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,N,53,106,regional,gamma,30,33.6,168,S,115,-1.889037,0.35311940000000003,14.33973073,95.88913,-0.449531311,-0.484112737,0.008928571
897,1,Cerqueira and Martins,2015,Acta Scientiarum,Plantae,woody plants,ecto,passive,autotrophs,terrestrial,Forest,S,16,-42,local,alpha,26,-17,2168,index,139,-0.01862954,0.01148489,0.018334475,3.846108,-0.137272685,-0.138144813,0.007352941
897,2,Cerqueira and Martins,2015,Acta Scientiarum,Plantae,woody plants,ecto,passive,autotrophs,terrestrial,Forest,S,16,-42,local,alpha,26,-17,2168,index,139,-0.9989246,1.096685,167.1778005,138.935,-0.077585269,-0.077741508,0.007352941
897,3,Cerqueira and Martins,2015,Acta Scientiarum,Plantae,woody plants,ecto,passive,autotrophs,terrestrial,Forest,S,16,-42,local,alpha,26,-17,2168,index,139,0.002952328,0.001495216,3.10758e-4,0.01806308,0.166344071,0.167904324,0.007352941
888,2,Davies et al,2010,Global Ecology and Biogeography,Animalia,birds,homeo,active,carnivores,marine,Open ocean,S,360,0,local,alpha,67,-37.5,110,S,169,0.3491546,0.04902455,0.406175699,8.2249389999999991,0.483783733,0.52791244,0.006060606
866,1,Zhang et al.,2011,Acta Oecologica,Plantae,herbaceous plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,N,35,112.5,regional,gamma,33,35,NA,S,265,-6.15527,0.8765505,203.6103064,298.9528,-0.456802583,-0.49326324,0.003816794
866,2,Zhang et al.,2011,Acta Oecologica,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,N,35,112.5,regional,gamma,33,35,NA,S,265,-0.2205226,0.1272578,4.29155513,20.96134,-0.10981621,-0.110260879,0.003816794
866,3,Zhang et al.,2011,Acta Oecologica,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,N,35,112.5,regional,gamma,33,35,NA,S,265,-43.99699,6.470998,11096.56101,2535.515,-0.393052668,-0.415405382,0.003816794
839,7,Fergnani and Ruggiero,2015,Plos ONE,Animalia,mammals,homeo,active,herbivores,terrestrial,Terrestrial general,S,45,-57.5,local,alpha,54,-27.37,78,S,1224,-0.1637652,0.009040024,0.10002777,10.69396,-0.460110096,-0.497450941,8.19001e-4
839,8,Fergnani and Ruggiero,2015,Plos ONE,Animalia,mammals,homeo,active,herbivores,terrestrial,Terrestrial general,S,45,-57.5,local,alpha,54,-27.37,29,S,1224,-0.1424975,0.006529963,0.05219187,10.13487,-0.529543294,-0.589510265,8.19001e-4
839,9,Fergnani and Ruggiero,2015,Plos ONE,Animalia,mammals,homeo,active,herbivores,terrestrial,Terrestrial general,S,45,-57.5,local,alpha,54,-27.37,29,S,1224,-0.05506001,0.003529627,0.015248919,5.499355,-0.407509877,-0.432621588,8.19001e-4
839,10,Fergnani and Ruggiero,2015,Plos ONE,Animalia,mammals,homeo,active,herbivores,terrestrial,Terrestrial general,S,45,-57.5,local,alpha,54,-27.37,76,S,1224,-0.198756,0.007639241,0.071430196,17.74419,-0.597057535,-0.688562195,8.19001e-4
839,11,Fergnani and Ruggiero,2015,Plos ONE,Animalia,mammals,homeo,active,herbivores,terrestrial,Terrestrial general,S,45,-57.5,local,alpha,54,-27.37,191,S,1224,0.2160535,0.00791719,0.076722643,14.77484,0.615348844,0.71748469,8.19001e-4
839,12,Fergnani and Ruggiero,2015,Plos ONE,Animalia,mammals,homeo,active,herbivores,terrestrial,Terrestrial general,S,45,-57.5,local,alpha,54,-27.37,128,S,1224,-0.2338565,0.005869451,0.042167357,8.5822870000000009,-0.75169249,-0.9768349,8.19001e-4
839,1,Fergnani and Ruggiero,2015,Plos ONE,Animalia,mammals,homeo,active,multiple,terrestrial,Terrestrial general,N,116,-108,local,alpha,73,37.205,78,S,2011,-0.1487867,0.00239485,0.011533701,8.015769,-0.810977805,-1.12987888,4.98008e-4
839,2,Fergnani and Ruggiero,2015,Plos ONE,Animalia,mammals,homeo,active,carnivores,terrestrial,Terrestrial general,N,116,-108,local,alpha,73,37.205,29,S,2011,-0.1220913,0.001963088,0.00774982,6.515375,-0.811271101,-1.130736279,4.98008e-4
839,3,Fergnani and Ruggiero,2015,Plos ONE,Animalia,mammals,homeo,active,herbivores,terrestrial,Terrestrial general,N,116,-108,local,alpha,73,37.205,29,S,2011,-0.02455103,0.00166093,0.005547723,4.009873,-0.313191746,-0.324080377,4.98008e-4
839,4,Fergnani and Ruggiero,2015,Plos ONE,Animalia,mammals,homeo,active,carnivores,terrestrial,Terrestrial general,N,116,-108,local,alpha,73,37.205,76,S,2011,-0.099495,0.003278692,0.02161789,17.22478,-0.560629557,-0.633750845,4.98008e-4
839,5,Fergnani and Ruggiero,2015,Plos ONE,Animalia,mammals,homeo,active,herbivores,terrestrial,Terrestrial general,N,116,-108,local,alpha,73,37.205,191,S,2011,-0.133737,0.003057369,0.018797833,7.606338,-0.698437184,-0.864242732,4.98008e-4
839,6,Fergnani and Ruggiero,2015,Plos ONE,Animalia,mammals,homeo,active,herbivores,terrestrial,Terrestrial general,N,116,-108,local,alpha,73,37.205,128,S,2011,-0.08328707,0.001724942,0.005983579,4.348692,-0.732893921,-0.9349511,4.98008e-4
861,1,Guo and Ren,2014,Global Ecology and Biogeography,Plantae,woody plants,ecto,passive,autotrophs,terrestrial,Forest,N,56.57,28.13,local,alpha,35,NA,NA,S,6153,-0.1399029,0.003506716,0.075663792,7.6691,-0.526235689,-0.584924842,1.62602e-4
875,1,R. Contreras-medina and I. Luna-vega,2007,Biodiversity Conservation,Plantae,woody plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,S,23,-11.5,regional,gamma,13.72,-23.66,130,S,32,-0.3255021,0.4554686,6.638452659,12.91259,-0.129380563,-0.130109816,0.03448276
337,1,Salinas et al.,2015,Journal of Plankton Research,Protista,protozoa,ecto,passive,autotrophs,marine,Open ocean,S,45,-35.5,regional,gamma,36,-47,220,index,6,-2.839471,0.1911576,0.219247368,251.3407,-0.991057011,-2.702775559,0.3333333
597,2,Boyero et al.,2012,Global Ecology and Biogeography,Animalia,arthropods,ecto,active,detritivores,freshwater,Freshwater,S,240,120,regional,gamma,40.745,-19.28,122,S,7,-0.009886326,0.1498458,0.157176346,8.492331,-0.029492835,-0.02950139,0.25
1141,1,Macpherson et al,2010,Deep-Sea Research I,Animalia,other invertebrates,ecto,active,detritivores,marine,Benthic,N,160,-160,regional,gamma,45,25,402,S,7,-0.4745836,0.6028514,2.544008673,53.18563,-0.332081466,-0.345165899,0.25
506,1,Nishikawa et al,2010,Deep-Sea Research II,Protista,protozoa,ecto,passive,suspension,marine,Open ocean,S,0.11,140,local,alpha,18,-56,11,S,8,0.07504478,0.08866003,0.062884807,-1.126049,0.32660496,0.339023078,0.2
1140,1,Nogueira et al,2012,Progress in Oceanography,Protista,protozoa,ecto,both,omnivores,marine,Open ocean,N,18.5,-10.75,regional,gamma,19,47,NA,index,8,-0.9757143,0.3257179,0.848737203,72.55393,-0.774139587,-1.030576839,0.2
332,2,Dolan,2011,Journal of Plankton Research,Protista,protozoa,ecto,both,omnivores,marine,Open ocean,S,200,-120,local,alpha,45,-25,280,index,9,-0.6597753,0.4074984,1.494494514,66.06366,-0.521975478,-0.579051198,0.1666667
332,4,Dolan,2011,Journal of Plankton Research,Protista,protozoa,ecto,both,autotrophs,marine,Open ocean,S,200,-120,local,alpha,45,-22,53,index,9,-0.2120293,0.06272539,0.035410271,24.80702,-0.787469301,-1.064734828,0.1666667
597,1,Boyero et al.,2012,Global Ecology and Biogeography,Animalia,arthropods,ecto,active,detritivores,freshwater,Freshwater,N,240,120,regional,gamma,61.81,16.43,122,S,10,0.1021121,0.1023467,0.10474847,8.288451,0.332653874,0.345809393,0.1428571
1141,2,Macpherson et al,2010,Deep-Sea Research I,Animalia,other invertebrates,ecto,active,detritivores,marine,Benthic,S,160,-160,regional,gamma,41,-16,402,S,10,-2.221311,1.10023,12.10506053,102.7509,-0.580980206,-0.663941079,0.1428571
332,1,Dolan,2011,Journal of Plankton Research,Protista,protozoa,ecto,both,omnivores,marine,Open ocean,N,200,-120,local,alpha,65,25,280,index,13,-0.9928513,0.1753976,0.399936135,72.23768,-0.862807221,-1.304226401,0.1
332,3,Dolan,2011,Journal of Plankton Research,Protista,protozoa,ecto,both,autotrophs,marine,Open ocean,N,200,-120,local,alpha,65,33,53,index,13,-0.3312561,0.06841283,0.060844099,27.26757,-0.825016121,-1.172325125,0.1
587,1,McDonald et al.,2012,Ecology and Evolution,Animalia,birds,homeo,active,multiple,terrestrial,Terrestrial general,N,19,-77.5,local,alpha,15.94,38.16,107,index,17,-0.302629,0.04974164,0.042061923,20.37895,-0.843577619,-1.233451703,0.07142857
719,1,Rivadeneira et al.,2011,Global Ecology and Biogeography,Animalia,arthropods,ecto,active,detritivores,marine,Coastal/estuary,S,7,-71.5,regional,gamma,38,-37,320,S,19,2.22183,0.3437528,2.245153763,-16.62454,0.843779474,1.234152083,0.0625
721,1,Maraun et al 2007,2007,Ecography,Animalia,arthropods,ecto,active,detritivores,terrestrial,Terrestrial general,both,329,7.5,regional,gamma,80,NA,NA,S,28,-6.710962,1.870035,97.91686523,750.0575,-0.575545307,-0.655775724,0.04
1142,1,Rakhshani et al,2008,European Journal of Entomology,Animalia,arthropods,ecto,active,parasites,terrestrial,Terrestrial other,N,15.5,51.7,regional,gamma,10.6,32.65,11,index,29,0.06249919,0.05524121,0.088496147,1.445547,0.212750817,0.216050819,0.03846154
1142,2,Rakhshani et al,2008,European Journal of Entomology,Animalia,arthropods,ecto,active,parasites,terrestrial,Terrestrial other,N,15.5,51.7,regional,gamma,10.6,32.65,11,S,29,0.05682769,0.08009385,0.186035719,2.639641,0.135290576,0.136125194,0.03846154
309,2,Chust et al,2013,Global Ecology and Biogeography,Protista,protozoa,ecto,passive,multiple,marine,Open ocean,N,53,-32.5,local,alpha,50,25,38,S,33,0.05804558,0.03719537,0.045655353,6.248151,0.269884123,0.276738839,0.03333333
309,1,Chust et al,2013,Global Ecology and Biogeography,Protista,protozoa,ecto,passive,autotrophs,marine,Open ocean,N,53,-32.5,local,alpha,50,25,86,S,34,0.04515458,0.06847781,0.159433156,6.450744,0.115783375,0.116304966,0.03225806
309,3,Chust et al,2013,Global Ecology and Biogeography,Protista,protozoa,ecto,passive,autotrophs,marine,Open ocean,N,53,-32.5,local,alpha,50,25,36,S,35,-0.01562304,0.03711913,0.048224043,10.25176,-0.07307154,-0.073202012,0.03125
309,5,Chust et al,2013,Global Ecology and Biogeography,Protista,protozoa,ecto,passive,multiple,marine,Open ocean,S,53,-32.5,local,alpha,50,-25,38,S,35,-0.04063143,0.02729696,0.026079341,6.618983,-0.250830401,-0.256298769,0.03125
309,4,Chust et al,2013,Global Ecology and Biogeography,Protista,protozoa,ecto,passive,autotrophs,marine,Open ocean,S,53,-32.5,local,alpha,50,-25,86,S,38,0.3513381,0.09306799,0.329142729,0.009983397,0.532539576,0.593683401,0.02857143
510,1,Bannister et al.,2012,Austral Ecology,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,S,9,-70.5,regional,gamma,38,-37,3739,S,39,-10.45986,2.850643,316.920455,1006.34,-0.516527347,-0.571591803,0.02777778
309,6,Chust et al,2013,Global Ecology and Biogeography,Protista,protozoa,ecto,passive,autotrophs,marine,Open ocean,S,53,-32.5,local,alpha,50,-25,36,S,39,-0.09543423,0.05392831,0.113422242,12.39901,-0.279346845,-0.286973495,0.02777778
724,1,Barrios-Garcia et al.,2015,Insect Conservation and Diversity,Animalia,arthropods,ecto,active,multiple,terrestrial,Terrestrial other,N,7,-120.5,local,alpha,13,NA,NA,S,42,-1.692468,0.7488237,23.55095121,97.52383,-0.344239016,-0.358893488,0.02702703
337,3,Salinas et al.,2015,Journal of Plankton Research,Protista,protozoa,ecto,passive,autotrophs,marine,Open ocean,S,45,-35.5,local,alpha,28,-47,220,S,56,-0.7493196,0.2306152,2.978268746,78.57811,-0.404395227,-0.428892366,0.01886792
533,1,Hunter,2005,Journal of Biogeography,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,S,41,130.5,regional,gamma,35,-26.5,27,S,94,-0.2018,0.03674914,0.126946933,8.436822,-0.696587611,-0.860640663,0.03225806
707,1,Kaspari et al.,2004,Oecologia,Animalia,arthropods,ecto,active,detritivores,terrestrial,Forest,both,360,0,local,alpha,50,0,NA,S,96,-0.8918914,0.1363112,1.783751352,44.28838,-0.561451423,-0.63495024,0.01075269
333,2,Dolan et al.,2006,Hydrobiologia,Protista,protozoa,ecto,both,multiple,marine,Open ocean,S,208,42,local,alpha,75,-21.6,NA,S,133,-0.5667142,0.1008673,1.353170224,41.0512,-0.440654286,-0.473042461,0.007692308
337,2,Salinas et al.,2015,Journal of Plankton Research,Protista,protozoa,ecto,passive,autotrophs,marine,Open ocean,S,45,-35.5,local,alpha,28,-47,220,S,143,0.2971471,0.1252713,2.2440845,43.57824,0.195890658,0.198455625,0.007142857
333,1,Dolan et al.,2006,Hydrobiologia,Protista,protozoa,ecto,both,multiple,marine,Open ocean,N,236,28,local,alpha,80,34,NA,S,160,-0.3821514,0.05563071,0.495164143,33.53499,-0.479560841,-0.522413801,0.006369427
694,1,Bellocq and GÃ_mez-Insausti,2005,Austral Ecology,Animalia,birds,homeo,active,carnivores,terrestrial,Terrestrial general,S,18,-63,regional,gamma,30,-32,78,S,91,-1.789993,0.1287299,1.507996231,87.58353,-0.827519365,-1.18021491,0.01136364
348,1,"H. L. Buckley, T. E. Miller, A. M. Ellison and N. J. Gotelli",2003,Ecology Letters,Animalia,other invertebrates,ecto,active,multiple,terrestrial,Terrestrial general,N,70,90,local,alpha,30,45,NA,S,39,0.2589374,0.1026698,0.411102425,20.97711,0.3830047,0.403576162,0.02777778
115,1,"B. H. Corliss, C. W. Brown, X. Sun and W. J. Showers",2009,Deep-Sea Research,Protista,protozoa,ecto,passive,multiple,marine,Open ocean,N,30,31,local,alpha,60,30,NA,S,40,-0.1881923,0.07259353,0.210792824,45.29888,-0.387659258,-0.409042362,0.02702703
