Estimate_ID,Article.ID,N,Corrected_Effect_Size,Effect_size,SE_calc,Effect_value,df,P,SE,Sign,Predicted.direction,Match,Test_type,Effect_type,Level_of_Inference,Class,Order,Species,Species2,Common_name,Invert_Vert,Ecto_Endo,Stage,Sex,Field_Lab,Manipulation,Manipulation.characteristics,Relation_type,Relation,Relation_Cat_1,Relation_Cat_2,B_Trait,B_Category,P_Trait,P_Category,LH_Trait,LH_Category,Trait1_description,Trait2_description
148,63,18,-0.44,-0.44,0.224499443,-0.44,NA,NA,NA,-,+,-1,Bivariate,Corr,P,Mammalia,Rodentia,Urocitellus beldingi,Urocitellus_beldingi,Belding's ground squirrels,Vert,Endo,Mixed,M,Lab,N,NA,BxP,ExploxImmuneResponse,ExploxImmuneResponse,ActxImmunity,Activity,Activity,ImmuneResponse,Immunity,NA,NA,exploration distance covered novel environment,"Innate immunity, bacterical blodd performance"
139,63,18,0.24,-0.24,0.242693222,-0.24,NA,NA,NA,-,-,1,Bivariate,Corr,P,Mammalia,Rodentia,Urocitellus beldingi,Urocitellus_beldingi,Belding's ground squirrels,Vert,Endo,Mixed,M,Lab,N,NA,BxP,BoldxImmuneResponse,BoldxImmuno,BoldxImmunity,Boldness,Boldness,ImmuneResponse,Immunity,NA,NA,Boldness latency to emerge from shelter,"Innate immunity, bacterical blodd performance"
140,63,157,0.016,-0.016,0.080311651,-0.016,NA,NA,NA,-,-,1,Bivariate,Corr,P,Mammalia,Rodentia,Urocitellus beldingi,Urocitellus_beldingi,Belding's ground squirrels,Vert,Endo,Adult,Both,Field,N,NA,BxP,DocilityxCort,DocilityxCort,DocilityxHormones,Docility,Docility,Cort,Hormones,NA,NA,Docility struggle rate during handling,faecal cortisol
141,63,157,0.095,-0.095,0.079958659,-0.095,NA,NA,NA,-,-,1,Bivariate,Corr,P,Mammalia,Rodentia,Urocitellus beldingi,Urocitellus_beldingi,Belding's ground squirrels,Vert,Endo,Adult,Both,Field,N,NA,BxP,DocilityxCort,DocilityxCort,DocilityxHormones,Docility,Docility,Cort,Hormones,NA,NA,Docility struggle rate during handling,faecal cortisol
142,63,18,-0.12,0.12,0.248193473,0.12,NA,NA,NA,+,-,-1,Bivariate,Corr,P,Mammalia,Rodentia,Urocitellus beldingi,Urocitellus_beldingi,Belding's ground squirrels,Vert,Endo,Mixed,Both,Lab,N,NA,BxP,DocilityxImmuneResponse,DocilityxImmuneResponse,DocilityxImmunity,Docility,Docility,ImmuneResponse,Immunity,NA,NA,Docility struggle rate during handling,"Innate immunity, bacterical blodd performance"
143,63,157,-0.046,-0.046,0.080236907,-0.046,NA,NA,NA,-,+,-1,Bivariate,Corr,P,Mammalia,Rodentia,Urocitellus beldingi,Urocitellus_beldingi,Belding's ground squirrels,Vert,Endo,Adult,Both,Field,N,NA,BxP,ExploxCort,ExploxCort,ExploxHormones,Exploration,Exploration,Cort,Hormones,NA,NA,Exploration number of inspections holes,faecal cortisol
145,63,157,0.207,0.207,0.078582236,0.207,NA,NA,NA,+,+,1,Bivariate,Corr,P,Mammalia,Rodentia,Urocitellus beldingi,Urocitellus_beldingi,Belding's ground squirrels,Vert,Endo,Adult,Both,Field,N,NA,BxP,ExploxCort,ExploxCort,ExploxHormones,Exploration,Exploration,Cort,Hormones,NA,NA,Exploration number of inspections holes,faecal cortisol
147,63,18,-0.38,-0.38,0.231246622,-0.38,NA,NA,NA,-,+,-1,Bivariate,Corr,P,Mammalia,Rodentia,Urocitellus beldingi,Urocitellus_beldingi,Belding's ground squirrels,Vert,Endo,Mixed,M,Lab,N,NA,BxP,ExploxImmuneResponse,ExploxImmuneResponse,ExploxImmunity,Exploration,Exploration,ImmuneResponse,Immunity,NA,NA,exploration latency to explore finite number objects,"Innate immunity, bacterical blodd performance"
149,64,200,0.020319929,0.020319929,0.071052232,1.787,64,0.186,NA,+,+,1,ANOVA,F,P,Actinopterygii,Salmoniformes,Salmo trutta,Salmo_trutta,Brown trouts,Vert,Ecto,Adult,Both,Field,N,NA,BxLH,ActxGR,ActxGR,ActxGR,Activity,Activity,NA,NA,GR,GR,Laboratory activity in open field arena,Deviation from expected specific growth rate
150,64,200,-0.006386773,0.006386773,0.071065456,1.48,189,0.229,NA,+,-,-1,ANOVA,F,P,Actinopterygii,Salmoniformes,Salmo trutta,Salmo_trutta,Brown trouts,Vert,Ecto,Adult,Both,Field,N,NA,BxLH,ActxSurvival,ActxSurvival,ActxLifeSpan,Activity,Activity,NA,NA,Survival,Life-Span,Laboratory activity in open field arena,Survival after release in the wild
151,65,57,-0.029379689,-0.029379689,0.134781765,-0.04,48,NA,0.196428571,-,+,-1,LMM,Reg,ID,Mammalia,Rodentia,Tamias sibiricus,Tamias_sibiricus,Eurasian chipmunk,Vert,Endo,Adult,F,Field,N,NA,BxLH,ExploxFecundity,ExploxFecundity,ExploxProd,Exploration,Exploration,NA,NA,Fecundity,Productivity,Boldness willingness to enter into traps,Annual number of juveniles weaned
152,65,47,0.252591655,0.252591655,0.144237263,0.39,38,NA,0.242346939,+,+,1,LMM,Reg,ID,Mammalia,Rodentia,Tamias sibiricus,Tamias_sibiricus,Eurasian chipmunk,Vert,Endo,Adult,M,Field,N,NA,BxLH,ExploxFecundity,ExploxFecundity,ExploxProd,Exploration,Exploration,NA,NA,Fecundity,Productivity,Boldness willingness to enter into traps,Annual number of juveniles weaned
153,67,14,-0.05,-0.05,0.288314065,-0.05,NA,NA,NA,-,+,-1,GLMM,Corr,ID,Aves,Passeriformes,Parus major,Parus_major,Great tits,Vert,Endo,Adult,M,Field,Y,Brood enlargement,BxLH,ExploxTimeDelay (male),ExploxParentalInvestment,ExploxProd,Exploration,Exploration,NA,NA,Parental Investment,Productivity,Movement between branches in experimental arena,Time delay to return to nest (parental investment)
154,67,14,-0.67,-0.67,0.21430119,-0.67,NA,NA,NA,-,+,-1,GLMM,Corr,ID,Aves,Passeriformes,Parus major,Parus_major,Great tits,Vert,Endo,Adult,F,Field,Y,Brood enlargement,BxLH,ExploxTimeDelay (female),ExploxParentalInvestment,ExploxProd,Exploration,Exploration,NA,NA,Parental Investment,Productivity,Movement between branches in experimental arena,Time delay to return to nest (parental investment)
155,68,296,-0.041,0.041,0.058272145,0.041,NA,NA,NA,+,-,-1,MLMM,Corr,ID,Mammalia,Rodentia,Tamias striatus,Tamias_striatus,Eastern chipmunks,Vert,Endo,Adult,Both,Field,N,NA,BxP,RMRxDocility,DocilityxRMR,DocilityxMetab,Docility,Docility,RMR,Metabolism,NA,NA,Time spent immobile in handling bag,RMR
157,68,64,-0.177,0.177,0.124994903,0.177,NA,NA,NA,+,-,-1,MLMM,Corr,ID,Mammalia,Rodentia,Tamias striatus,Tamias_striatus,Eastern chipmunks,Vert,Endo,Adult,Both,Field,N,NA,BxP,DEExDocility,DocilityxDEE,DocilityxMetab,Docility,Docility,DEE,Metabolism,NA,NA,Time spent immobile in handling bag,DEE
156,68,228,-0.143,-0.143,0.065835374,-0.143,NA,NA,NA,-,+,-1,MLMM,Corr,ID,Mammalia,Rodentia,Tamias striatus,Tamias_striatus,Eastern chipmunks,Vert,Endo,Adult,Both,Field,N,NA,BxP,RMRxExplo,ExploxRMR,ExploxMetab,Exploration,Exploration,RMR,Metabolism,NA,NA,Number of line crossed,RMR
158,68,64,-0.32,-0.316,0.120322148,-0.316,NA,NA,NA,-,+,-1,MLMM,Corr,ID,Mammalia,Rodentia,Tamias striatus,Tamias_striatus,Eastern chipmunks,Vert,Endo,Adult,Both,Field,N,NA,BxP,DEExExplo,ExploxDEE,ExploxMetab,Exploration,Exploration,DEE,Metabolism,NA,NA,Number of line crossed,DEE
159,69,35,-0.36,0.355602062,0.16240615,0.33,25,NA,0.173469388,+,-,-1,GLMM,Reg,ID,Aves,Passeriformes,Parus major,Parus_major,Great tits,Vert,Endo,Adult,Both,Field,Y,Control,BxP,BMRxLatencytoReturn,BoldxRMR,BoldxMetab,Boldness,Boldness,RMR,Metabolism,NA,NA,Latency to return to feeder(control),RMR
160,69,35,-0.13,-0.132915399,0.172600432,-0.13,25,NA,0.193877551,+,-,-1,GLMM,Reg,ID,Aves,Passeriformes,Parus major,Parus_major,Great tits,Vert,Endo,Adult,Both,Field,Y,Control,BxP,BMRxLatencytoReturn,BoldxRMR,BoldxMetab,Boldness,Boldness,RMR,Metabolism,NA,NA,Latency to return to feeder(predator),RMR
161,70,20,-0.1,-0.104370135,0.234520788,-0.14,13,0.921,0.37,-,+,-1,LMM,Reg,ID,Actinopterygii,Gasteristeiformes,Gasterosteus aculeatus,Gasterosteus_aculeatus,Three-spined sticklebacks,Vert,Ecto,Adult,F,Lab,Y,Pre/post predatory exposure,BxP,ActxCort,ActxCort,ActxHormones,Activity,Activity,Cort,Hormones,NA,NA,Activity score during simulated exposure to predator (PC1),Mean testosterone
162,70,20,-0.03,-0.027562341,0.235596171,-0.17,13,0.693,1.71,-,+,-1,LMM,Reg,ID,Actinopterygii,Gasteristeiformes,Gasterosteus aculeatus,Gasterosteus_aculeatus,Three-spined sticklebacks,Vert,Ecto,Adult,F,Lab,Y,Pre/post predatory exposure,BxP,ActxTesto,ActxTesto,ActxHormones,Activity,Activity,Test,Hormones,NA,NA,Activity score during simulated exposure to predator (PC1),Mean basa cortisol
163,70,20,0.05,0.04617571,0.235407448,0.02,13,0.901,0.12,+,+,1,LMM,Reg,ID,Actinopterygii,Gasteristeiformes,Gasterosteus aculeatus,Gasterosteus_aculeatus,Three-spined sticklebacks,Vert,Ecto,Adult,F,Lab,Y,Pre/post predatory exposure,BxP,ActxCort,ActxCort,ActxHormones,Activity,Activity,Test,Hormones,NA,NA,Activity score during simulated exposure to predator (PC1),Mean post-predator exposure cort
164,70,20,-0.2,0.19628058,0.230940108,0.83,13,0.478,1.15,+,-,-1,LMM,Reg,ID,Actinopterygii,Gasteristeiformes,Gasterosteus aculeatus,Gasterosteus_aculeatus,Three-spined sticklebacks,Vert,Ecto,Adult,F,Lab,Y,Pre/post predatory exposure,BxP,ShynessxCort,BoldxCort,BoldxHormones,Boldness,Boldness,Cort,Hormones,NA,NA,Shyness score during simulated exposure to predator (PC2),Mean testosterone
165,70,20,0.07,-0.066417047,0.235124081,-0.06,13,0.816,0.25,-,-,1,LMM,Reg,ID,Actinopterygii,Gasteristeiformes,Gasterosteus aculeatus,Gasterosteus_aculeatus,Three-spined sticklebacks,Vert,Ecto,Adult,F,Lab,Y,Pre/post predatory exposure,BxP,ShynessxTesto,BoldxTesto,BoldxHormones,Boldness,Boldness,Test,Hormones,NA,NA,Shyness score during simulated exposure to predator (PC2),Mean basa cortisol
166,70,20,-0.03,0.030802055,0.235596171,0.01,13,0.242,0.09,+,-,-1,LMM,Reg,ID,Actinopterygii,Gasteristeiformes,Gasterosteus aculeatus,Gasterosteus_aculeatus,Three-spined sticklebacks,Vert,Ecto,Adult,F,Lab,Y,Pre/post predatory exposure,BxP,ShynessxCort,BoldxCort,BoldxHormones,Boldness,Boldness,Test,Hormones,NA,NA,Shyness score during simulated exposure to predator (PC2),Mean post-predator exposure cort
167,71,22,-0.49,0.487383278,0.194923062,1.47,15,0.049,0.68,+,-,-1,LMM,Reg,ID,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,M,Field,N,NA,BxLH,Act(novel)xFLD,ActxFirstLayingDate,ActxProd,Activity,Activity,NA,NA,FirstLayingDate,Productivity,Time active in novel environment,FirstLayingDate
168,71,22,0.65,-0.649299565,0.169926455,-6.58,15,0.005,1.99,-,-,1,LMM,Reg,ID,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,M,Field,N,NA,BxLH,Act(fam)xFLD,ActxFirstLayingDate,ActxProd,Activity,Activity,NA,NA,FirstLayingDate,Productivity,Time active in home cage,FirstLayingDate
169,71,22,-0.5,-0.503929828,0.193649167,-40.04,15,0.037,17.72,-,+,-1,LMM,Reg,ID,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,M,Field,N,NA,BxLH,Act(novel)xClutchSize,ActxClutchSize,ActxProd,Activity,Activity,NA,NA,Clutch size,Productivity,Time active in novel environment,Clutch size
170,71,22,0.6,0.600567864,0.178885438,48.61,15,0.009,16.71,+,+,1,LMM,Reg,ID,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,M,Field,N,NA,BxLH,Act(fam)xClutchSize,ActxClutchSize,ActxProd,Activity,Activity,NA,NA,Clutch size,Productivity,Time active in home cage,Clutch size
171,76,19,0.121,0.12103788,0.240753596,19.23,117,<0.001,NA,-,-,1,ANOVA,F,P,Amphibia,Anura,Rana dalmatina,Rana_dalmatina,Agile frogs,Vert,Ecto,Juv,Both,Lab,N,NA,BxLH,Act(11d)xMetamAge,ActxMetamorphosisAge,ActxMaturationRate,Activity,Activity,NA,NA,MetamorphosisAge,MaturationRate,Activity PC score (11day),MetamorphosisAge
172,76,18,0.111,0.110754041,0.248455102,7.16,116,0.017,NA,-,-,1,ANOVA,F,P,Amphibia,Anura,Rana dalmatina,Rana_dalmatina,Agile frogs,Vert,Ecto,Juv,Both,Lab,N,NA,BxLH,Act(naive)xMetamAge,ActxMetamorphosisAge,ActxMaturationRate,Activity,Activity,NA,NA,MetamorphosisAge,MaturationRate,Activity PC score (naivestage),MetamorphosisAge
179,81,350,0.111,-0.111,0.053274366,-0.111,NA,NA,NA,-,-,1,Bivariate,Corr,P,Insecta,Odonata,Ischnura sp.,Ischnura,Damselflies,Invert,Endo,Juv,Both,Lab,Y,Pre/Post Exposure to chlorpyrifos,BxLH,Bold(pre-expo)xGR,BoldxGR,BoldxGR,MovementLatency,Boldness,NA,NA,GR,GR,Latency to resume movement after predatory threat(pre),GR
180,81,350,-0.085,0.085,0.053411625,0.085,NA,NA,NA,+,-,-1,Bivariate,Corr,P,Insecta,Odonata,Ischnura sp.,Ischnura,Damselflies,Invert,Endo,Juv,Both,Lab,Y,Pre/Post Exposure to chlorpyrifos,BxLH,Bold(pre-expo)xDevelTime,BoldxDevelopmentTime,BoldxMaturationRate,MovementLatency,Boldness,NA,NA,DevelopmentTime,MaturationRate,Latency to resume movement after predatory threat(pre),MaturationRate
181,81,350,-0.038,-0.038,0.053566909,-0.038,NA,NA,NA,-,+,-1,Bivariate,Corr,P,Insecta,Odonata,Ischnura sp.,Ischnura,Damselflies,Invert,Endo,Juv,Both,Lab,Y,Pre/Post Exposure to chlorpyrifos,BxLH,Bold(pre-expo)xLifeSpan,BoldxLifeSpan,BoldxLifeSpan,MovementLatency,Boldness,NA,NA,LifeSpan,Life-Span,Latency to resume movement after predatory threat(pre),Life-Span
182,81,350,0.103,-0.103,0.053320517,-0.103,NA,NA,NA,-,-,1,Bivariate,Corr,P,Insecta,Odonata,Ischnura sp.,Ischnura,Damselflies,Invert,Endo,Juv,Both,Lab,Y,Pre/Post Exposure to chlorpyrifos,BxLH,Bold(post-expo)xGR,BoldxGR,BoldxGR,MovementLatency,Boldness,NA,NA,GR,GR,Latency to resume movement after predatory threat(post),GR
183,81,350,-0.068,0.068,0.053481547,0.068,NA,NA,NA,+,-,-1,Bivariate,Corr,P,Insecta,Odonata,Ischnura sp.,Ischnura,Damselflies,Invert,Endo,Juv,Both,Lab,Y,Pre/Post Exposure to chlorpyrifos,BxLH,Bold(post-expo)xDevelTime,BoldxDevelopmentTime,BoldxMaturationRate,MovementLatency,Boldness,NA,NA,DevelopmentTime,MaturationRate,Latency to resume movement after predatory threat(post),MaturationRate
184,81,350,-0.037,-0.037,0.053568921,-0.037,NA,NA,NA,-,+,-1,Bivariate,Corr,P,Insecta,Odonata,Ischnura sp.,Ischnura,Damselflies,Invert,Endo,Juv,Both,Lab,Y,Pre/Post Exposure to chlorpyrifos,BxLH,Bold(post-expo)xLifeSpan,BoldxLifeSpan,BoldxLifeSpan,MovementLatency,Boldness,NA,NA,LifeSpan,Life-Span,Latency to resume movement after predatory threat(post),Life-Span
173,81,350,0.112,0.112,0.053268351,0.112,NA,NA,NA,+,+,1,Bivariate,Corr,P,Insecta,Odonata,Ischnura sp.,Ischnura,Damselflies,Invert,Endo,Juv,Both,Lab,Y,Pre/Post Exposure to chlorpyrifos,BxLH,Act(pre-expo)xGR,ActxGR,ForxGR,FeedingActivity,Foraging,NA,NA,GR,GR,Number of strikes against food items(pre),GR
174,81,350,-0.202,-0.202,0.052500575,-0.202,NA,NA,NA,-,+,-1,Bivariate,Corr,P,Insecta,Odonata,Ischnura sp.,Ischnura,Damselflies,Invert,Endo,Juv,Both,Lab,Y,Pre/Post Exposure to chlorpyrifos,BxLH,Act(pre-expo)xDevelTime,ActxDevelopmentTime,ForxMaturationRate,FeedingActivity,Foraging,NA,NA,DevelopmentTime,MaturationRate,Number of strikes against food items(pre),MaturationRate
175,81,350,0.049,-0.049,0.053541235,-0.049,NA,NA,NA,-,-,1,Bivariate,Corr,P,Insecta,Odonata,Ischnura sp.,Ischnura,Damselflies,Invert,Endo,Juv,Both,Lab,Y,Pre/Post Exposure to chlorpyrifos,BxLH,Act(pre-expo)xLifeSpan,ActxLifeSpan,ForxLifeSpan,FeedingActivity,Foraging,NA,NA,LifeSpan,Life-Span,Number of strikes against food items(pre),Life-Span
176,81,350,0.041,0.041,0.053560552,0.041,NA,NA,NA,+,+,1,Bivariate,Corr,P,Insecta,Odonata,Ischnura sp.,Ischnura,Damselflies,Invert,Endo,Juv,Both,Lab,Y,Pre/Post Exposure to chlorpyrifos,BxLH,Act(post-expo)xGR,ActxGR,ForxGR,FeedingActivity,Foraging,NA,NA,GR,GR,Number of strikes against food items(post),GR
177,81,350,-0.108,-0.108,0.053292082,-0.108,NA,NA,NA,-,+,-1,Bivariate,Corr,P,Insecta,Odonata,Ischnura sp.,Ischnura,Damselflies,Invert,Endo,Juv,Both,Lab,Y,Pre/Post Exposure to chlorpyrifos,BxLH,Act(post-expo)xDevelTime,ActxDevelopmentTime,ForxMaturationRate,FeedingActivity,Foraging,NA,NA,DevelopmentTime,MaturationRate,Number of strikes against food items(post),MaturationRate
178,81,350,-0.02,0.02,0.053594905,0.02,NA,NA,NA,+,-,-1,Bivariate,Corr,P,Insecta,Odonata,Ischnura sp.,Ischnura,Damselflies,Invert,Endo,Juv,Both,Lab,Y,Pre/Post Exposure to chlorpyrifos,BxLH,Act(post-expo)xLifeSpan,ActxLifeSpan,ForxLifeSpan,FeedingActivity,Foraging,NA,NA,LifeSpan,Life-Span,Number of strikes against food items(post),Life-Span
