lab,es_id,yi_r,vi_r,yi_d,vi_d,ni,country,weird,western,educated,industrialized,rich,democratic,mean_weird_score,online,analysis
hawaiion,406,-0.00187,0.0102,-0.00376,0.04163,99,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Anderson.1
hkust,407,-0.1196,0.00953,-0.23886,0.0392,103,"Hong Kong, China",0,0,0.77,0.08,0,0.74,0.31799999999999995,lab,Anderson.1
hunancomp,408,0.06123,0.00714,0.12186,0.02865,140,China,0,0,0.61,0.08,0,0.74,0.286,online,Anderson.1
ithaca,409,-0.13688,0.01267,-0.27296,0.05251,77,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Anderson.1
johannesburg,410,-0.15953,0.01899,-0.31833,0.08019,51,South Africa,0,1,0.7,0.09,0,0.55,0.46799999999999997,online,Anderson.1
koc,411,0.04533,0.01186,0.09458,0.05239,85,Turkey,0,0,0.65,0.13,0,0.55,0.266,online,Anderson.1
lausanne,412,-0.03186,0.00924,-0.06378,0.03742,109,Switzerland,1,1,0.84,1,1,0.87,0.942,online,Anderson.1
leuven,413,0.01908,0.00943,0.0378,0.03739,107,Belgium,1,1,0.81,0.4531,1,0.82,0.81662,lab,Anderson.1
lundon,414,0.06884,0.00934,0.13686,0.03755,107,Sweden,1,1,0.83,0.71,1,0.87,0.882,online,Anderson.1
marian,415,-0.05376,0.014,-0.10622,0.05568,72,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Anderson.1
mturk,416,0.12005,0.00316,0.24221,0.01321,308,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Anderson.1
mturk_india,417,-0.02464,0.00295,-0.04941,0.01193,339,India,0,0,0.47,0.0131,0,0.55,0.20662000000000003,online,Anderson.1
navarra,418,0.26703,0.01797,0.54839,0.0864,49,Spain,1,1,0.79,0.34,1,0.76,0.7779999999999999,online,Anderson.1
ntnu,419,0.02065,0.01281,0.04176,0.0531,79,Taiwan,0,NA,NA,NA,NA,NA,NA,lab,Anderson.1
occid,420,0.03693,0.01534,0.07332,0.06155,66,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Anderson.1
plu,421,0.09952,0.01043,0.19802,0.04235,95,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Anderson.1
poitiers,422,0.09282,0.0234,0.18329,0.09469,43,France,1,1,0.82,0.38,1,0.79,0.7979999999999999,lab,Anderson.1
potsdam,423,0.22422,0.01013,0.45547,0.04568,90,Germany,1,1,0.88,0.73,1,0.82,0.8859999999999999,online,Anderson.1
pscio,424,0.02602,0.01218,0.05143,0.04822,83,Uruguay,0,1,0.71,0.09,0,0.74,0.508,lab,Anderson.1
psuabington,425,-0.06825,0.01179,-0.13544,0.04733,85,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Anderson.1
psumain,426,-0.11961,0.01214,-0.23944,0.05035,81,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Anderson.1
purkyne,427,0.1232,0.00752,0.24744,0.03127,130,Czech Republic,1,1,0.87,0.4,1,0.71,0.796,lab,Anderson.1
sandiegosu,428,-0.04647,0.00611,-0.09254,0.02445,164,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Anderson.1
santiagoon,429,0.14994,0.01647,0.30825,0.07329,59,Chile,1,1,0.75,1,0,0.73,0.696,online,Anderson.1
swps,430,0.09251,0.01143,0.18427,0.04647,87,Poland,1,1,0.83,0.19,1,0.71,0.746,lab,Anderson.1
tamu,431,-0.04684,0.01059,-0.09368,0.04295,95,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Anderson.1
tilburg,432,-0.04044,0.01038,-0.08063,0.04181,97,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,lab,Anderson.1
tilburgcaf,433,0.3047,0.01069,0.63178,0.05387,78,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,NA,Anderson.1
tilburgcomm,434,-0.05956,0.01003,-0.11898,0.04066,100,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,online,Anderson.1
toronto,435,-0.0584,0.00296,-0.11679,0.01192,337,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Anderson.1
tufts,436,0.02342,0.01162,0.04631,0.046,87,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Anderson.1
ubc,437,-0.04052,0.01231,-0.08033,0.04908,82,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Anderson.1
ucron,438,-0.18497,0.01025,-0.3724,0.04425,92,Costa Rica,0,1,0.65,0.1,0,0.72,0.49399999999999994,online,Anderson.1
udd,439,-0.13123,0.0111,-0.26344,0.04644,88,Chile,1,1,0.75,1,0,0.73,0.696,lab,Anderson.1
ufl,440,0.01715,0.00884,0.03434,0.0358,114,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Anderson.1
uiuc,441,-0.00392,0.005,-0.00782,0.01998,201,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Anderson.1
umich,442,-0.16717,0.01099,-0.33791,0.04738,87,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Anderson.1
unam,443,-0.02921,0.00718,-0.05805,0.02861,140,Mexico,0,1,0.64,0.13,0,0.58,0.47000000000000003,online,Anderson.1
unibelgrade,444,-0.0573,0.01274,-0.11407,0.05138,79,Serbia,0,1,0.7,0.04,0,0.62,0.472,lab,Anderson.1
uniporto,445,0.08457,0.02987,0.16582,0.1197,34,Portugal,1,1,0.73,0.23,1,0.76,0.744,online,Anderson.1
uva,446,-0.06935,0.01193,-0.13932,0.0491,84,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Anderson.1
vuamsterdam,447,0.03622,0.01108,0.0733,0.04599,91,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,lab,Anderson.1
vuw,448,-0.13072,0.00996,-0.26919,0.04379,98,New Zealand,1,1,0.92,0.35,1,0.82,0.818,online,Anderson.1
washlee,449,-0.02475,0.01063,-0.04899,0.04212,95,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Anderson.1
wilfredlaur,450,-0.13074,0.01086,-0.26242,0.04538,90,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Anderson.1
williampat,451,0.05153,0.00865,0.10286,0.0349,116,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Anderson.1
winchester,452,-0.06311,0.00719,-0.12571,0.02891,139,UK,1,1,0.86,0.4,1,0.8,0.8119999999999999,lab,Anderson.1
wpi,453,-0.04901,0.01199,-0.09721,0.04792,84,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Anderson.1
wroclaw,454,-0.14206,0.01055,-0.28498,0.04425,92,Poland,1,1,0.83,0.19,1,0.71,0.746,lab,Anderson.1
zhejiang,455,-0.03792,0.01262,-0.07504,0.05016,80,China,0,0,0.61,0.08,0,0.74,0.286,NA,Anderson.1
aus,456,0.5191,0.00593,1.24158,0.05543,91,United Arab Emirates,0,0,0.67,0.4,0,0.4,0.29400000000000004,lab,Ross.1
bc,457,0.56972,0.00608,1.47162,0.07515,76,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.1
bilgi,458,0.47271,0.00399,1.07174,0.03039,152,Turkey,0,0,0.65,0.13,0,0.55,0.266,online,Ross.1
brasilia,459,0.42294,0.00655,0.92877,0.04297,104,Brazil,0,1,0.66,0.08,0,0.65,0.47800000000000004,lab,Ross.1
cas,460,0.39317,0.01051,0.95958,0.08184,69,China,0,0,0.61,0.08,0,0.74,0.286,lab,Ross.1
doshisha,461,0.45863,0.00552,1.08518,0.04464,114,Japan,0,0,0.81,0.8,1,0.75,0.672,lab,Ross.1
eindhoven,462,0.37903,0.00756,0.82482,0.04571,98,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,NA,Ross.1
elte,463,0.49315,0.00623,1.15123,0.05245,93,Hungary,1,1,0.81,0.24,1,0.67,0.744,lab,Ross.1
grazvienna,464,0.57515,0.00367,1.44121,0.04317,123,Hungary,1,1,0.81,0.24,1,0.67,0.744,lab,Ross.1
hawaiion,465,0.3326,0.00783,0.70179,0.04201,102,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Ross.1
hkust,466,0.44035,0.00625,1.14054,0.05869,105,"Hong Kong, China",0,0,0.77,0.08,0,0.74,0.31799999999999995,lab,Ross.1
hunancomp,467,0.58301,0.00289,1.42583,0.03301,152,China,0,0,0.61,0.08,0,0.74,0.286,online,Ross.1
ithaca,468,0.3464,0.00993,0.79269,0.06383,79,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.1
johannesburg,469,0.42686,0.01311,0.9612,0.09182,52,South Africa,0,1,0.7,0.09,0,0.55,0.46799999999999997,online,Ross.1
koc,470,0.366,0.00872,0.7893,0.05097,87,Turkey,0,0,0.65,0.13,0,0.55,0.266,online,Ross.1
lausanne,471,0.35855,0.00678,0.80577,0.04252,113,Switzerland,1,1,0.84,1,1,0.87,0.942,online,Ross.1
leuven,472,0.39173,0.00664,0.8437,0.03997,109,Belgium,1,1,0.81,0.4531,1,0.82,0.81662,lab,Ross.1
lundon,473,0.59715,0.0037,1.73027,0.06191,113,Sweden,1,1,0.83,0.71,1,0.87,0.882,online,Ross.1
marian,474,0.42193,0.00866,1.04002,0.07171,79,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.1
mturk,475,0.42545,0.00204,0.94745,0.01374,330,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Ross.1
mturk_india,476,0.48019,0.00165,1.23337,0.01634,359,India,0,0,0.47,0.0131,0,0.55,0.20662000000000003,online,Ross.1
navarra,477,0.43502,0.0124,0.95412,0.08343,54,Spain,1,1,0.79,0.34,1,0.76,0.7779999999999999,online,Ross.1
ntnu,478,0.64925,0.00403,1.69112,0.06489,84,Taiwan,0,NA,NA,NA,NA,NA,NA,lab,Ross.1
occid,479,0.49712,0.00859,1.13895,0.07048,67,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.1
plu,480,0.39035,0.00756,0.956,0.05884,96,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.1
poitiers,481,0.57864,0.01053,1.43327,0.12342,43,France,1,1,0.82,0.38,1,0.79,0.7979999999999999,lab,Ross.1
potsdam,482,0.42072,0.00753,1.02748,0.06095,91,Germany,1,1,0.88,0.73,1,0.82,0.8859999999999999,online,Ross.1
pscio,483,0.41411,0.00808,0.92462,0.05414,86,Uruguay,0,1,0.71,0.09,0,0.74,0.508,lab,Ross.1
psuabington,484,0.29785,0.00923,0.63105,0.04815,91,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.1
psumain,485,0.50755,0.0068,1.33302,0.07485,82,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.1
purkyne,486,0.42939,0.00475,0.99624,0.03511,141,Czech Republic,1,1,0.87,0.4,1,0.71,0.796,lab,Ross.1
sandiegosu,487,0.41089,0.00399,0.98443,0.03052,174,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.1
santiagoon,488,0.43881,0.01105,0.96241,0.07468,60,Chile,1,1,0.75,1,0,0.73,0.696,online,Ross.1
swps,489,0.50491,0.00591,1.15758,0.04916,95,Poland,1,1,0.83,0.19,1,0.71,0.746,lab,Ross.1
tamu,490,0.37476,0.00762,1.05656,0.07686,98,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.1
tilburg,491,0.49654,0.00591,1.14601,0.04902,97,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,lab,Ross.1
tilburgcaf,492,0.485,0.0074,1.10074,0.05808,80,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,NA,Ross.1
tilburgcomm,493,0.56948,0.00452,1.3938,0.05,102,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,online,Ross.1
toronto,494,0.51271,0.00155,1.19997,0.01362,351,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Ross.1
tufts,495,0.3489,0.00907,0.7928,0.05764,86,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.1
ubc,496,0.56248,0.00577,1.35402,0.0607,82,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Ross.1
ucron,497,0.60515,0.00406,1.55858,0.05505,100,Costa Rica,0,1,0.65,0.1,0,0.72,0.49399999999999994,online,Ross.1
udd,498,0.50752,0.00586,1.16563,0.04926,95,Chile,1,1,0.75,1,0,0.73,0.696,lab,Ross.1
ufl,499,0.43952,0.00566,1.08533,0.04823,116,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.1
uiuc,500,0.5045,0.00274,1.21669,0.02509,204,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.1
umich,501,0.42766,0.00776,1.03338,0.06227,87,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.1
unam,502,0.56186,0.00327,1.35219,0.03426,144,Mexico,0,1,0.64,0.13,0,0.58,0.47000000000000003,online,Ross.1
unibelgrade,503,0.4765,0.00747,1.12545,0.0624,81,Serbia,0,1,0.7,0.04,0,0.62,0.472,lab,Ross.1
uniporto,504,0.43652,0.01872,0.94303,0.12346,36,Portugal,1,1,0.73,0.23,1,0.76,0.744,online,Ross.1
uva,505,0.57411,0.00529,1.52611,0.06993,86,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.1
vuamsterdam,506,0.53513,0.00542,1.25918,0.05083,95,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,lab,Ross.1
vuw,507,0.40551,0.00691,0.91359,0.0465,102,New Zealand,1,1,0.92,0.35,1,0.82,0.818,online,Ross.1
washlee,508,0.41857,0.00709,1.14925,0.07226,97,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.1
wilfredlaur,509,0.5479,0.00544,1.36671,0.05919,91,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Ross.1
williampat,510,0.43805,0.00527,0.99791,0.03808,125,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.1
winchester,511,0.43815,0.00463,0.97144,0.03169,142,UK,1,1,0.86,0.4,1,0.8,0.8119999999999999,lab,Ross.1
wpi,512,0.32121,0.00946,0.70334,0.05407,86,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.1
wroclaw,513,0.41839,0.00709,0.91295,0.04564,97,Poland,1,1,0.83,0.19,1,0.71,0.746,lab,Ross.1
zhejiang,514,0.56665,0.00555,1.36049,0.05874,84,China,0,0,0.61,0.08,0,0.74,0.286,NA,Ross.1
amity,515,0.39493,0.00481,0.86257,0.02989,149,India,0,0,0.47,0.0131,0,0.55,0.20662000000000003,lab,Ross.2
amityon,516,0.71875,0.00497,2.0311,0.12689,48,India,0,0,0.47,0.0131,0,0.55,0.20662000000000003,online,Ross.2
armstrong,517,0.38177,0.00869,0.82094,0.05156,85,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.2
aus2,518,0.40177,0.00393,0.88183,0.02486,180,United Arab Emirates,0,0,0.67,0.4,0,0.4,0.29400000000000004,lab,Ross.2
bogota,519,0.56604,0.00457,1.37272,0.04921,102,Colombia,0,1,0.6,0.05,0,0.6,0.45,lab,Ross.2
brookcuny,520,0.4152,0.00387,0.91133,0.02499,178,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Ross.2
carleton,521,0.37426,0.00632,0.80215,0.03678,118,Canada,1,1,0.85,0.45,1,0.79,0.818,online,Ross.2
csunorthonline,522,0.53305,0.00596,1.24622,0.05496,87,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Ross.2
fmkbelgrade,523,0.22019,0.00896,0.51287,0.05291,102,Serbia,0,1,0.7,0.04,0,0.62,0.472,lab,Ross.2
georgefox,524,0.34455,0.00571,0.72885,0.03115,137,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Ross.2
grazvienna,525,0.23591,0.00874,0.56864,0.05589,103,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Ross.2
hawaiion,526,0.47434,0.00501,1.09224,0.03946,121,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Ross.2
help,527,0.36948,0.00877,0.81299,0.05361,86,Malaysia,0,0,0.67,0.16,0,0.52,0.27,lab,Ross.2
isb,528,0.32601,0.00502,0.71287,0.02863,160,India,0,0,0.47,0.0131,0,0.55,0.20662000000000003,lab,Ross.2
jmu,529,0.44297,0.0076,1.01703,0.05645,86,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Ross.2
jos,530,0.27351,0.00962,0.61357,0.055,90,Nigeria,0,1,0.43,0.003,0,0.4,0.3665999999999999,lab,Ross.2
kenyon,531,0.44457,0.00613,0.98603,0.04254,106,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.2
krakowon,532,0.36283,0.00769,0.81758,0.04883,99,Poland,1,1,0.83,0.19,1,0.71,0.746,online,Ross.2
kwazulu,533,0.47545,0.00821,1.10739,0.0666,74,South Africa,0,1,0.7,0.09,0,0.55,0.46799999999999997,lab,Ross.2
louvain,534,0.1679,0.00935,0.3779,0.04993,102,Belgium,1,1,0.81,0.4531,1,0.82,0.81662,lab,Ross.2
loyola,535,0.43657,0.00224,0.96766,0.01526,293,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.2
lse,536,0.35285,0.00703,0.75042,0.03923,110,UK,1,1,0.86,0.4,1,0.8,0.8119999999999999,lab,Ross.2
mcdanielonline,537,0.38192,0.00465,0.82185,0.02749,158,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Ross.2
metu,538,0.40093,0.00568,0.86963,0.03513,125,Turkey,0,0,0.65,0.13,0,0.55,0.266,online,Ross.2
moralsense,539,0.33445,9.6e-4,0.71715,0.00531,820,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Ross.2
mturk,540,0.40193,0.00209,0.9237,0.01444,338,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Ross.2
mturk_india,541,0.50005,0.00165,1.15626,0.01379,341,India,0,0,0.47,0.0131,0,0.55,0.20662000000000003,online,Ross.2
munich,542,0.53353,0.00624,1.25078,0.05796,83,Germany,1,1,0.88,0.73,1,0.82,0.8859999999999999,lab,Ross.2
munichon,543,0.32901,0.00375,0.73561,0.0224,213,Germany,1,1,0.88,0.73,1,0.82,0.8859999999999999,lab,Ross.2
northumbria,544,0.39687,0.0091,0.86956,0.05731,79,UK,1,1,0.86,0.4,1,0.8,0.8119999999999999,lab,Ross.2
osnabruck,545,0.45834,0.00734,1.13627,0.0653,86,Germany,1,1,0.88,0.73,1,0.82,0.8859999999999999,lab,Ross.2
ouhk,546,0.35791,0.01288,0.79943,0.08033,60,"Hong Kong, China",0,0,0.77,0.08,0,0.74,0.31799999999999995,lab,Ross.2
padua,547,0.38093,0.00937,1.01209,0.08486,79,Italy,1,1,0.79,0.5,1,0.72,0.8019999999999999,lab,Ross.2
pascal,548,0.32663,0.00461,0.82395,0.035,174,France,1,1,0.82,0.38,1,0.79,0.7979999999999999,online,Ross.2
psualtoona,549,0.46053,0.00355,1.03501,0.02592,176,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.2
puc,550,0.50698,0.0069,1.2882,0.07096,81,Chile,1,1,0.75,1,0,0.73,0.696,online,Ross.2
queensland2,551,0.48094,0.00431,1.2293,0.0424,138,Australia,1,1,0.93,0.35,1,0.8,0.8160000000000001,lab,Ross.2
radboud,552,0.54307,0.01714,1.24964,0.15936,30,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,NA,Ross.2
ritonline,553,0.47328,0.00734,1.07928,0.05684,83,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Ross.2
rotterdam,554,0.53962,0.00661,1.32565,0.06845,77,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,lab,Ross.2
salford,555,0.48014,0.0058,1.09571,0.0455,103,UK,1,1,0.86,0.4,1,0.8,0.8119999999999999,lab,Ross.2
seznam,556,0.33329,0.00964,0.74542,0.05824,83,Czech Republic,1,1,0.87,0.4,1,0.71,0.796,lab,Ross.2
seznamon,557,0.3707,0.00647,0.80599,0.03857,116,Czech Republic,1,1,0.87,0.4,1,0.71,0.796,online,Ross.2
simmons,558,0.37585,0.00784,0.82295,0.04783,95,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.2
swps,559,0.21234,0.01048,0.54412,0.07459,88,Poland,1,1,0.83,0.19,1,0.71,0.746,lab,Ross.2
tamu,560,0.46088,0.00738,1.02986,0.05362,85,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.2
tamucc,561,0.38282,0.00828,0.84321,0.05159,89,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.2
tanzania,562,0.23853,0.02869,0.47658,0.12904,32,Tanzania,0,1,0.43,0.003,0,0.5,0.38659999999999994,lab,Ross.2
tilburg,563,0.56606,0.00491,1.38109,0.05354,95,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,lab,Ross.2
tilburgcaf,564,0.43788,0.00817,0.99607,0.05907,81,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,NA,Ross.2
ulatina,565,0.25278,0.00447,0.53977,0.02263,197,Costa Rica,0,1,0.65,0.1,0,0.72,0.49399999999999994,lab,Ross.2
umich,566,0.55765,0.00559,1.34585,0.05831,86,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.2
uned,567,0.43393,0.00784,0.95995,0.05328,85,Spain,1,1,0.79,0.34,1,0.76,0.7779999999999999,online,Ross.2
unswonline,568,0.47065,0.00631,1.13205,0.05402,97,Australia,1,1,0.93,0.35,1,0.8,0.8160000000000001,online,Ross.2
vcu,569,0.50884,0.00578,1.1909,0.05057,96,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.2
vuw,570,0.38463,0.00741,0.89747,0.05189,99,New Zealand,1,1,0.92,0.35,1,0.82,0.818,online,Ross.2
westernkentucky,571,0.33534,0.00492,0.73969,0.02886,161,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Ross.2
yale,572,0.33204,0.00282,0.70152,0.01506,282,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Ross.2
amity,573,-0.04895,0.00646,-0.09739,0.02584,155,India,0,0,0.47,0.0131,0,0.55,0.20662000000000003,lab,Giessner.1
amityon,574,-0.03216,0.02218,-0.06448,0.09132,46,India,0,0,0.47,0.0131,0,0.55,0.20662000000000003,online,Giessner.1
armstrong,575,0.18185,0.01154,0.36543,0.04962,82,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Giessner.1
aus2,576,-0.00721,0.00565,-0.01436,0.02252,178,United Arab Emirates,0,0,0.67,0.4,0,0.4,0.29400000000000004,lab,Giessner.1
badaniaon,577,-0.30676,0.02002,-0.63194,0.10086,42,Poland,1,1,0.83,0.19,1,0.71,0.746,online,Giessner.1
bogota,578,0.13313,0.00985,0.26626,0.04087,99,Colombia,0,1,0.6,0.05,0,0.6,0.45,lab,Giessner.1
brookcuny,579,-0.01149,0.00565,-0.02289,0.02254,178,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Giessner.1
carleton,580,-0.00454,0.00833,-0.00902,0.03311,121,Canada,1,1,0.85,0.45,1,0.79,0.818,online,Giessner.1
cas,581,-0.10095,0.0213,-0.19971,0.0865,47,China,0,0,0.61,0.08,0,0.74,0.286,lab,Giessner.1
csunorthonline,582,-0.10917,0.01162,-0.2178,0.04766,85,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Giessner.1
fmkbelgrade,583,0.1169,0.01003,0.24313,0.04475,98,Serbia,0,1,0.7,0.04,0,0.62,0.472,lab,Giessner.1
georgefox,584,0.00501,0.00735,0.00995,0.02921,137,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Giessner.1
grazvienna,585,-0.17379,0.00922,-0.34993,0.03952,103,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Giessner.1
hawaiion,586,0.02727,0.00825,0.05438,0.03312,122,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Giessner.1
help,587,0.07706,0.0111,0.15284,0.04457,90,Malaysia,0,0,0.67,0.16,0,0.52,0.27,lab,Giessner.1
isb,588,0.06396,0.00583,0.12859,0.02387,171,India,0,0,0.47,0.0131,0,0.55,0.20662000000000003,lab,Giessner.1
jmu,589,-0.03895,0.01173,-0.07714,0.04665,86,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Giessner.1
jos,590,0.02436,0.01086,0.04827,0.04315,93,Nigeria,0,1,0.43,0.003,0,0.4,0.3665999999999999,lab,Giessner.1
kenyon,591,-0.03209,0.0095,-0.0637,0.03788,106,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Giessner.1
krakowon,592,0.00917,0.0102,0.01899,0.0442,99,Poland,1,1,0.83,0.19,1,0.71,0.746,online,Giessner.1
kwazulu,593,0.10368,0.01398,0.2072,0.05756,71,South Africa,0,1,0.7,0.09,0,0.55,0.46799999999999997,lab,Giessner.1
louvain,594,0.2647,0.00865,0.54377,0.0411,101,Belgium,1,1,0.81,0.4531,1,0.82,0.81662,lab,Giessner.1
loyola,595,0.05691,0.0034,0.11498,0.014,293,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Giessner.1
lse,596,0.12456,0.00889,0.24915,0.03675,110,UK,1,1,0.86,0.4,1,0.8,0.8119999999999999,lab,Giessner.1
mcdanielonline,597,-0.14079,0.00616,-0.28357,0.02591,157,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Giessner.1
metu,598,-0.08318,0.00795,-0.16624,0.03236,125,Turkey,0,0,0.65,0.13,0,0.55,0.266,online,Giessner.1
moralsense,599,-0.00518,0.00122,-0.01034,0.00485,824,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Giessner.1
mturk,600,0.1035,0.00291,0.20752,0.01194,337,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Giessner.1
mturk_india,601,-0.02997,0.00279,-0.05987,0.01117,359,India,0,0,0.47,0.0131,0,0.55,0.20662000000000003,online,Giessner.1
munich,602,0.26758,0.01051,0.55194,0.0506,83,Germany,1,1,0.88,0.73,1,0.82,0.8859999999999999,lab,Giessner.1
munichon,603,-0.0861,0.00471,-0.17214,0.01915,210,Germany,1,1,0.88,0.73,1,0.82,0.8859999999999999,lab,Giessner.1
northumbria,604,-0.12254,0.01244,-0.24476,0.05141,79,UK,1,1,0.86,0.4,1,0.8,0.8119999999999999,lab,Giessner.1
osnabruck,605,0.01144,0.0119,0.0228,0.04786,85,Germany,1,1,0.88,0.73,1,0.82,0.8859999999999999,lab,Giessner.1
ouhk,606,0.02072,0.01491,0.041,0.0593,68,"Hong Kong, China",0,0,0.77,0.08,0,0.74,0.31799999999999995,lab,Giessner.1
padua,607,-0.18962,0.012070000000000001,-0.38177,0.05235,78,Italy,1,1,0.79,0.5,1,0.72,0.8019999999999999,lab,Giessner.1
pascal,608,-0.01527,0.00585,-0.03045,0.02337,172,France,1,1,0.82,0.38,1,0.79,0.7979999999999999,online,Giessner.1
psualtoona,609,-0.02966,0.0057,-0.05926,0.02293,176,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Giessner.1
puc,610,-0.09997,0.01225,-0.19969,0.05025,81,Chile,1,1,0.75,1,0,0.73,0.696,online,Giessner.1
